ID,Organism,Strain,Molecule product,DB xref,location
JQ422556.1,Canine coronavirus,LA/12/08/I/GR,N/A,taxon:11153,Greece
JQ929046.1,Canine coronavirus,185/11,N/A,taxon:11153,Italy
KP281578.1,Canine coronavirus,CCoV/vaccine/passage9/clone107,N/A,taxon:11153,N/A
MF095854.1,Canine coronavirus 2,SBJ12_2007,N/A,taxon:2185079,Tanzania
OQ623699.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP281513.1,Canine coronavirus,CCoV/vaccine/passage3/clone47,N/A,taxon:11153,N/A
MT250799.1,Canine coronavirus,HLJ/J69,N/A,taxon:11153,China
KP281564.1,Canine coronavirus,CCoV/vaccine/passage7/clone92,N/A,taxon:11153,N/A
MT114545.1,Canine coronavirus,B795_ZJ_2019,N/A,taxon:11153,China
GQ130256.1,Canine coronavirus,97/06-23,N/A,taxon:11153,United Kingdom
PV454549.1,Canine coronavirus,N/A,N/A,taxon:11153,Iraq
AB781807.1,Canine coronavirus,fc4,N/A,taxon:11153,Japan
KT222989.1,Canine coronavirus,HRB-D5,N/A,taxon:11153,China
KR105603.1,Canine coronavirus,N/A,N/A,taxon:11153,Brazil
LC190901.1,Canine coronavirus,CCoV/dog/HCM26/2014,N/A,taxon:11153,Viet Nam
GQ148769.1,Canine coronavirus,363/05,N/A,taxon:11153,Hungary
PP526172.1,Canine coronavirus,UCD-1,N/A,taxon:11153,N/A
PV246312.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP281585.1,Canine coronavirus,CCoV/vaccine/passage9/clone114,N/A,taxon:11153,N/A
OQ565728.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
OQ623705.1,Canine coronavirus,N/A,N/A,taxon:11153,China
GQ121370.1,Canine coronavirus,56/08,N/A,taxon:11153,Greece
PV454550.1,Canine coronavirus,N/A,N/A,taxon:11153,Iraq
KP281545.1,Canine coronavirus,CCoV/vaccine/passage6/clone70,N/A,taxon:11153,N/A
