ID,Organism,Strain,Molecule product,DB xref,location
OP674105.1,Infectious bronchitis virus,CK/NL/D090642/2017,N/A,taxon:11120,Netherlands
OL688949.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,South Korea
MT157394.1,Infectious bronchitis virus,I0429/18,N/A,taxon:11120,China
GU383100.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Brazil
ON149260.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OR638969.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
PV657376.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Iraq
FJ167383.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Argentina
MH397173.1,Infectious bronchitis virus,gammaCoV/ck/China/I0731/17,N/A,taxon:11120,China
MW886329.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,India
MH427408.1,Infectious bronchitis virus,gammaCoV/ck/China/I0915/16,N/A,taxon:11120,China
MG191038.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Thailand
MH286404.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Turkey
P30208.1,Avian infectious bronchitis virus (strain UK/167/84),N/A,N/A,taxon:31628,N/A
OR639312.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KJ577262.1,Infectious bronchitis virus,ANAND/GUJ/IBV5/2013,N/A,taxon:11120,India
PQ511051.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,India: Tripura
OP675195.1,Infectious bronchitis virus,CK/NL/D091002/2018,N/A,taxon:11120,Netherlands
OP674352.1,Infectious bronchitis virus,CK/NL/D090638/2019,N/A,taxon:11120,Netherlands
OP673808.1,Infectious bronchitis virus,CK/NL/D090777/2012,N/A,taxon:11120,Netherlands
JN022547.1,Infectious bronchitis virus,QX-like,N/A,taxon:11120,Sweden
MN128016.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
KY873052.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
PP208791.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OP675412.1,Infectious bronchitis virus,CK/NL/D091155/2020,N/A,taxon:11120,Netherlands
LC663498.1,Infectious bronchitis virus,S95E52,N/A,taxon:11120,Japan
GU383075.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Brazil
KT583568.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Iran
KX302872.1,Infectious bronchitis virus,ck/CH/LSD/101115,N/A,taxon:11120,China
OM937935.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OR631190.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Viet Nam
OP675397.1,Infectious bronchitis virus,CK/NL/D091885/2020,N/A,taxon:11120,Netherlands
