ID,Organism,Strain,Molecule product,DB xref,location
LC829624.1,Bovine coronavirus,N/A,N/A,taxon:11128,Japan: Chiba
DQ355400.1,Bovine coronavirus,CaenBCV,N/A,taxon:11128,France: Normandy
KF169935.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
MT346364.1,Bovine coronavirus,BOV19-NS-9Passage,N/A,taxon:11128,Brazil
MK318160.1,Bovine coronavirus,N/A,N/A,taxon:11128,Uruguay
AB277122.1,Bovine coronavirus,Ishikawa/3/01,N/A,taxon:11128,Japan
LC823241.1,Bovine coronavirus,N/A,N/A,taxon:11128,Japan: Fukushima
JN795159.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
KF169930.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
LC504708.1,Bovine coronavirus,S9-Mie-2018,N/A,taxon:11128,Japan
AB450826.1,Bovine coronavirus,Hokkaido/23/05,N/A,taxon:11128,Japan
KT318120.1,Bovine coronavirus,N/A,N/A,taxon:11128,France
OP037416.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
LC494132.1,Bovine coronavirus,IWT-4,N/A,taxon:11128,Japan
KP033207.1,Bovine coronavirus,Arg95,N/A,taxon:11128,Argentina
LC504702.1,Bovine coronavirus,S3-Mie-2018,N/A,taxon:11128,Japan
OP820537.1,Bovine coronavirus,N/A,N/A,taxon:11128,India
OP037388.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
MT346366.1,Bovine coronavirus,BOV21-NS/BRA/2016,N/A,taxon:11128,Brazil
KM677166.1,Bovine coronavirus,N/A,N/A,taxon:11128,Croatia
OP037389.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
LC504680.1,Bovine coronavirus,I8-Miyazaki-2017,N/A,taxon:11128,Japan
KF169924.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
ON544072.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
EU814648.1,Bovine coronavirus,438/06-TN-50,N/A,taxon:11128,Italy
OL456213.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
LC494142.1,Bovine coronavirus,IWT-18,N/A,taxon:11128,Japan
LC494131.1,Bovine coronavirus,IWT-3,N/A,taxon:11128,Japan
MK318169.1,Bovine coronavirus,N/A,N/A,taxon:11128,Uruguay
FJ938063.1,Bovine coronavirus E-DB2-TC,E-DB2-TC,N/A,taxon:422216,USA: Ohio
AB450913.1,Bovine coronavirus,Kagoshima/3/07,N/A,taxon:11128,Japan
LC504724.1,Bovine coronavirus,U30-Miyazaki-2018,N/A,taxon:11128,Japan
ON142319.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
AF058942.1,Bovine coronavirus,LY-138,N/A,taxon:11128,N/A
MK932866.1,Bovine coronavirus,N/A,N/A,taxon:11128,Iran
MZ711351.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
LC504697.1,Bovine coronavirus,S13-Mie-2018,N/A,taxon:11128,Japan
AB450829.1,Bovine coronavirus,Hokkaido/26/05,N/A,taxon:11128,Japan
AY606196.1,Bovine coronavirus,USP-06,N/A,taxon:11128,Brazil
OP037378.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
ON792947.1,Bovine coronavirus,ABGEB0-70,N/A,taxon:11128,Ireland
MW771520.1,Bovine coronavirus,N/A,N/A,taxon:11128,Israel
AB450894.1,Bovine coronavirus,Shimane/16/05,N/A,taxon:11128,Japan
DQ389641.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
OP186328.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
JQ741967.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA
LC829610.1,Bovine coronavirus,N/A,N/A,taxon:11128,Japan: Chiba
PP599027.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
DQ389653.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
LC494181.1,Bovine coronavirus,TCG-22,N/A,taxon:11128,Japan
LC494174.1,Bovine coronavirus,TCG-8,N/A,taxon:11128,Japan
FJ899737.1,Bovine coronavirus,BCoV/WD/2003/WDBR-96,N/A,taxon:11128,Brazil
OP037442.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Oregon
OQ161705.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
LC504717.1,Bovine coronavirus,U19-Miyazaki-2018,N/A,taxon:11128,Japan
MW521191.1,Bovine coronavirus,HLJ/HH-17/2020,N/A,taxon:11128,China
AB277130.1,Bovine coronavirus,Tochigi/2/01,N/A,taxon:11128,Japan
AY606192.1,Bovine coronavirus,USP-02,N/A,taxon:11128,Brazil
MT346361.1,Bovine coronavirus,BOV19-NS-4Passage,N/A,taxon:11128,Brazil
AB277115.1,Bovine coronavirus,Hokkaido/17/05,N/A,taxon:11128,Japan
KF169913.1,Bovine coronavirus,N/A,N/A,taxon:11128,Denmark
KT318113.1,Bovine coronavirus,N/A,N/A,taxon:11128,France
MK095175.1,Bovine coronavirus,BCOV-China/SWUN/SC2/2017,N/A,taxon:11128,China
LC504682.1,Bovine coronavirus,KK13-Kumamoto-2016,N/A,taxon:11128,Japan
PV345613.1,Bovine coronavirus,N/A,N/A,taxon:11128,"Kazakhstan: Ulytau oblast, Zhanaarka distr."
GQ259978.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
MW711294.1,Bovine coronavirus,SWUN/XC-7/2020,N/A,taxon:11128,China
OP762515.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
OR603988.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
PV053175.1,Bovine coronavirus,N/A,N/A,taxon:11128,Brazil
DQ121630.1,Bovine coronavirus,N/A,N/A,taxon:11128,Denmark
OP037377.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
DQ121645.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
MN650891.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
MW881218.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
AB450848.1,Bovine coronavirus,Yamagata/12/07,N/A,taxon:11128,Japan
LC494159.1,Bovine coronavirus,SHG-6,N/A,taxon:11128,Japan
OP037400.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Wisconsin
PP156979.1,Bovine coronavirus,N/A,N/A,taxon:11128,Albania
OP924545.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
MW881214.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
OL960027.1,Bovine coronavirus,N/A,N/A,taxon:11128,India
MW521186.1,Bovine coronavirus,HLJ/HH-12/2020,N/A,taxon:11128,China
AB277099.1,Bovine coronavirus,Hokkaido/1/02,N/A,taxon:11128,Japan
DQ121636.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
PP156982.1,Bovine coronavirus,N/A,N/A,taxon:11128,Albania
OR947451.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
LC494154.1,Bovine coronavirus,SHG-1,N/A,taxon:11128,Japan
LC504681.1,Bovine coronavirus,KK10-Kumamoto-2016,N/A,taxon:11128,Japan
LC494171.1,Bovine coronavirus,TCG-16,N/A,taxon:11128,Japan
MT346359.1,Bovine coronavirus,BOV19-NS-2Passage,N/A,taxon:11128,Brazil
LC494155.1,Bovine coronavirus,SHG-2,N/A,taxon:11128,Japan
OR464042.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
OP186318.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
MK318170.1,Bovine coronavirus,N/A,N/A,taxon:11128,Uruguay
AB277140.1,Bovine coronavirus,Yamagata/2/03,N/A,taxon:11128,Japan
DQ121657.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
EF424621.1,Sable antelope coronavirus US/OH1/2003,US/OH1/2003,N/A,taxon:422138,USA:Ohio
ON792946.1,Bovine coronavirus,ABGEB0-66,N/A,taxon:11128,Ireland
AB277118.1,Bovine coronavirus,Hokkaido/20/05,N/A,taxon:11128,Japan
