ID,Organism,Strain,Molecule product,DB xref,location
MN173811.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN058057.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Jiangsu
KU981062.1,Porcine deltacoronavirus,NH,N/A,taxon:1586324,China
KY293677.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MK248485.1,Porcine deltacoronavirus,CC-HNZK-02,N/A,taxon:1586324,China
KP757891.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MF280390.1,Porcine deltacoronavirus,CHN-GD-2016,N/A,taxon:1586324,China
PP129693.1,Porcine deltacoronavirus,CHN/SX-Y/2023,N/A,taxon:1586324,China
KY078908.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KR265848.1,Porcine deltacoronavirus,USA/Minnesota214/2014,N/A,taxon:1586324,USA: Minnesota
MN520201.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Guangdong
MW685623.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Haiti
MZ388472.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Guangxi
MZ388474.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Guangxi
KY078916.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KY436218.1,Porcine deltacoronavirus,CHN-SC2015,N/A,taxon:1586324,China: Chengdu
KP995358.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,USA
MZ712037.1,Porcine deltacoronavirus,PDCoV/110-714/TW-2021,N/A,taxon:1586324,Taiwan
OM047182.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
