ID,Organism,Strain,Molecule product,DB xref,location
MT606084.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
MW316832.1,Feline coronavirus,FCoV/China/SMU-CD9/2017,N/A,taxon:12663,China
AY159771.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
JN654404.1,Feline coronavirus,08K-958,N/A,taxon:12663,South Korea
MK736807.1,Feline coronavirus,NTUCL20,N/A,taxon:12663,Taiwan
MG016685.1,Feline coronavirus,BJ/2015/03,N/A,taxon:12663,China
MW858292.1,Feline coronavirus,NX/202008/002,N/A,taxon:12663,China
MF357051.1,Feline infectious peritonitis virus,N/A,N/A,taxon:11135,Taiwan
MG892442.1,Feline coronavirus,BJ/2018/08,N/A,taxon:12663,China
MG892424.1,Feline coronavirus,SC/CD/2017/12,N/A,taxon:12663,China
JQ304515.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
MW656208.1,Feline coronavirus,NTUCL83,N/A,taxon:12663,Taiwan
JQ304310.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
OQ594199.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
OQ594102.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
HG325839.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
OK236331.1,Feline coronavirus,N/A,N/A,taxon:12663,China
PQ561611.1,Feline coronavirus,N/A,N/A,taxon:12663,Turkey: Istanbul
EU327706.1,Feline coronavirus,N/A,N/A,taxon:12663,Portugal
MT606027.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
OR141619.1,Feline coronavirus,N/A,N/A,taxon:12663,Taiwan
JQ304487.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
MW858270.1,Feline coronavirus,HeB/202009/004,N/A,taxon:12663,China
HQ206644.1,Feline coronavirus,UPM 2C/07,N/A,taxon:12663,Malaysia
OR141629.1,Feline coronavirus,N/A,N/A,taxon:12663,Taiwan
LC742526.1,Feline coronavirus,N/A,N/A,taxon:12663,Japan:Niigata
MW858316.1,Feline coronavirus,SX/202101/011,N/A,taxon:12663,China
MK736802.1,Feline coronavirus,NTUCL35,N/A,taxon:12663,Taiwan
PQ540761.1,Feline coronavirus,N/A,N/A,taxon:12663,Turkey: Istanbul
MG892414.1,Feline coronavirus,SC/CD/2017/10,N/A,taxon:12663,China
KP143507.1,Feline coronavirus,N/A,N/A,taxon:12663,United Kingdom
OQ594074.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
OR141639.1,Feline coronavirus,N/A,N/A,taxon:12663,Taiwan
OQ594088.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
OQ196077.1,Feline coronavirus,N/A,N/A,taxon:12663,China
AY159780.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
JQ304309.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
OQ594153.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
JQ304509.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
MG892443.1,Feline coronavirus,BJ/2018/09,N/A,taxon:12663,China
MT551813.1,Feline coronavirus,Zu3,N/A,taxon:12663,Switzerland
KC461236.1,Feline infectious peritonitis virus,N/A,N/A,taxon:11135,USA
MG016700.1,Feline coronavirus,HLJ/HRB/2016/05,N/A,taxon:12663,China
JQ304417.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
PP254213.1,Feline infectious peritonitis virus,N/A,N/A,taxon:11135,India: Bhopal
OK236269.1,Feline coronavirus,N/A,N/A,taxon:12663,China
MK736810.1,Feline coronavirus,NTUCL39,N/A,taxon:12663,Taiwan
MG016690.1,Feline coronavirus,BJ/2016/01,N/A,taxon:12663,China
OK236301.1,Feline coronavirus,N/A,N/A,taxon:12663,China
JQ304308.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
JQ304383.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
MT606069.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
HE860471.1,Feline coronavirus,N/A,N/A,taxon:12663,United Kingdom
MG892406.1,Feline coronavirus,HLJ/DQ/2017/06,N/A,taxon:12663,China
HG325837.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
OR141633.1,Feline coronavirus,N/A,N/A,taxon:12663,Taiwan
MW858258.1,Feline coronavirus,BJ/201912/008,N/A,taxon:12663,China
OQ594108.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
MW648579.1,Feline coronavirus,NTUCL69,N/A,taxon:12663,Taiwan
MG892461.1,Feline coronavirus,BJ/2018/26,N/A,taxon:12663,China
OQ594168.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
MG892463.1,Feline coronavirus,BJ/2018/28,N/A,taxon:12663,China
JQ304373.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
OQ594073.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
EU327730.1,Feline coronavirus,N/A,N/A,taxon:12663,Portugal
MW858281.1,Feline coronavirus,HuB/202008/001,N/A,taxon:12663,China
MT606033.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
JQ304364.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
MW858290.1,Feline coronavirus,JS/202012/007,N/A,taxon:12663,China
KJ665866.1,Feline coronavirus,FECV19,N/A,taxon:12663,Germany
JQ304470.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
PP254207.1,Feline coronavirus,N/A,N/A,taxon:12663,India: Nashik
OQ196070.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OQ594068.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
KJ665870.1,Feline coronavirus,FIPV3F,N/A,taxon:12663,Germany
MT606020.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
FJ917521.1,Feline coronavirus,N/A,N/A,taxon:12663,USA
OQ196093.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OQ594146.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
OQ196095.1,Feline coronavirus,N/A,N/A,taxon:12663,China
JQ304361.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
OK236270.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OQ196042.1,Feline coronavirus,N/A,N/A,taxon:12663,China
MG892416.1,Feline coronavirus,HLJ/DQ/2017/13,N/A,taxon:12663,China
ON597861.1,Feline coronavirus,SX/2021/02,N/A,taxon:12663,China
JQ304313.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
OK236321.1,Feline coronavirus,N/A,N/A,taxon:12663,China
JQ304466.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
MG892423.1,Feline coronavirus,SC/CD/2017/09,N/A,taxon:12663,China
OR141623.1,Feline coronavirus,N/A,N/A,taxon:12663,Taiwan
HQ012367.1,Feline coronavirus UU17,UU17,N/A,taxon:871678,Netherlands: Utrecht
OK236299.1,Feline coronavirus,N/A,N/A,taxon:12663,China
PP601320.1,Feline coronavirus,N/A,N/A,taxon:12663,Thailand
OK236327.1,Feline coronavirus,N/A,N/A,taxon:12663,China
MW225957.1,Feline infectious peritonitis virus,N/A,N/A,taxon:11135,Italy
JQ304328.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
PQ561609.1,Feline coronavirus,N/A,N/A,taxon:12663,Turkey: Istanbul
MZ221047.1,Feline coronavirus,FCoV/LS0522,N/A,taxon:12663,China
JQ304455.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
JQ304490.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
PQ479635.1,Feline coronavirus,N/A,N/A,taxon:12663,Turkey: Istanbul
MW815660.1,Feline coronavirus,FCoV/CD0607,N/A,taxon:12663,China
MW648573.1,Feline coronavirus,NTUCL63,N/A,taxon:12663,Taiwan
OR141621.1,Feline coronavirus,N/A,N/A,taxon:12663,Taiwan
EU664205.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
AY159739.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
OQ196074.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OQ594172.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
OR141609.1,Feline coronavirus,N/A,N/A,taxon:12663,Taiwan
KY566211.1,Feline coronavirus,HLJ/HRB/2016/13,N/A,taxon:12663,China
AY159743.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
EU664198.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
MW858254.1,Feline coronavirus,BJ/201911/001,N/A,taxon:12663,China
EU327736.1,Feline coronavirus,N/A,N/A,taxon:12663,Portugal
MT606094.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
MW815650.1,Feline coronavirus,FCoV/MY0622,N/A,taxon:12663,China
MW316847.1,Feline coronavirus,FCoV/China/SMU-CDF97/2020,N/A,taxon:12663,China
OK236330.1,Feline coronavirus,N/A,N/A,taxon:12663,China
AY159764.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
AY159761.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
HF954941.1,Feline coronavirus,N/A,N/A,taxon:12663,USA:IA
MK736786.1,Feline coronavirus,NTUCL8,N/A,taxon:12663,Taiwan
JF757239.2,Feline coronavirus,N/A,N/A,taxon:12663,Malaysia
MT606076.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
EU664277.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
EU664310.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
MT181981.1,Feline coronavirus,N/A,N/A,taxon:12663,China
JQ304459.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
