ID,Collection date
LC331089,2016-05
LC331090,2016-06
LC331091,2016-06
LC331092,2016-06
LC331093,2016-07
LC315646,2014
LC315647,2014
LC315648,2015
LC315649,2016
KY983583,2015
KY983585,2015
KY983588,2015
KY967356,2015
KY967358,2015
KY967359,2015
KY967360,2015
KY967361,2015
KY554972,2016
KY554973,2016
KY554974,2016
KY554975,2016
KX447776,
KX447777,
KX447778,
KX447779,
KX447781,
KX447783,
KX447784,
KX447785,
KX447786,
KX447787,
KX447789,
KX447790,
KY674917,2016
KY674918,2016
KY674920,2016
KY684759,2016
KX538964,2012-02-22
KX538965,2012-03-28
KX538966,2012-04-02
KX538967,2012-05-02
KX538968,2012-05-09
KX538969,2012-05-18
KX538970,2012-06-20
KX538971,2012-06-25
KX538972,2012-07-04
KX538973,2012-07-16
KX538974,2012-08-01
KX538975,2012-08-24
KX538976,2012-08-27
KX538977,2012-09-10
KX538978,2013-01-02
KX538979,2013-02-15
KY369905,2016
KY369906,2016
KY369907,2016
KX344031,2011-02-09
KR055622,2012
KR055623,2012
KR055624,2012
KR055625,2012
KR055626,2012
KR055627,2012
KR055628,2012
KR055629,2012
KR055630,2012
KR055631,2012
KR055632,2012
KR055633,2012
KR055634,2012
KR055635,2012
KR055636,2012
KR055637,2012
KR055638,2012
KR055639,2012
KR055640,2012
KR055641,2012
KR055642,2012
KR055643,2013
KR055644,2013
KU131570,2011-08-20
KR607985,2009
KR607986,2009
KR607987,2009
KR607988,2009
KR607989,2009
KF572815,2009-04
KF572829,2011-09
KF572840,2012-02
KF572869,2009-08
KF923886,2010-03
KF923887,2010-04
KF923889,2006-03
KF923890,2007-04
KF923892,2007-05
KF923893,2010-07
KF923894,2007-05
KF923895,2010-07
KF923897,2012-06
KF923898,2012-03
KF923899,2006-09
KF923901,2007-06
KF923902,2012-05
KF923903,2012-05
KF923904,2012-05
KF923905,2005-06
KF923907,2007-05
KF923908,2007-06
KF923909,2007-06
KF923910,2007-06
KF923911,2007-06
KF923912,2007-06
KF923913,2007-06
KF923914,2007-06
KF923915,2007-06
KF923916,2007-06
KF923917,2007-06
KF923918,2010-05
KF923919,2007-07
KF923920,2007-07
KF923921,2007-05
KF923922,2009-03
KF923923,2008-10
KF923924,2010-07
KF923925,2010-09
KM077094,
KM077095,
KM077096,
KM077097,
KM077098,
KM077099,
KM077100,
KM077101,
KM077102,
KM077103,
KM077104,
KM077105,
KM077106,
KM077107,
KM077108,
KM077109,
KM077110,
KM077111,
KM077112,
KM077113,
KM077114,
KM077115,
KM077116,
KM077117,
KM077118,
KM077119,
KM077120,
KM077121,
KM077122,
KM077123,
KM077124,
KM077125,
KM077126,
KM077127,
KF963229,1967
KF963230,2001-02-20
KF963231,2001-02-07
KF963232,2002-03-12
KF963233,2002-02-21
KF963234,2003-01-17
KF963235,2004-02-20
KF963236,2005-02-07
KF963237,2006-04-12
KF963238,2007-06-16
KF963239,2008-01-17
KF963240,2009-11-02
KF963241,2010-12-17
KF963242,2011-11-20
KF963243,2012-03-30
KF963244,2013-03-18
KF572804,2010-01
KF572805,2010-03
KF572806,2010-03
KF572807,2006-03
KF572808,2010-04
KF572809,2010-06
KF572810,2010-07
KF572811,2011-12
KF572812,2012-02
KF572813,2012-03
KF572814,2012-03
KF572816,2005-06
KF572817,2006-09
KF572818,2006-10
KF572819,2007-04
KF572820,2007-06
KF572821,2010-05
KF572822,2010-07
KF572823,2010-07
KF572824,2008-11
KF572825,2010-09
KF572826,2008-11
KF572827,2008-12
KF572828,2008-12
KF572830,2008-12
KF572831,2012-05
KF572832,2012-05
KF572833,2012-05
KF572834,2009-02
KF572835,2009-02
KF572836,2009-08
KF572837,2009-08
KF572838,2010-07
KF572839,2010-07
KF572841,2012-06
KF572842,2007-03
KF572843,2007-03
KF572844,2007-03
KF572845,2007-03
KF572846,2007-03
KF572847,2007-03
KF572848,2007-03
KF572849,2007-06
KF572850,2007-06
KF572851,2007-06
KF572852,2007-06
KF572853,2007-06
KF572854,2007-06
KF572855,2007-06
KF572856,2007-06
KF572857,2007-06
KF572858,2007-06
KF572859,2007-06
KF572860,2007-07
KF572861,2007-07
KF572862,2007-07
KF572863,2007-07
KF572864,2007-05
KF572865,2009-02
KF572866,2009-03
KF572867,2009-04
KF572868,2008-10
KF572870,2009-08
KF572871,2009-10
KF572872,2008-10
KF923888,2010-07
KF923891,2007-05
KF923896,2012-02
KF923900,2006-10
KF923906,2012-03
KP198610,2010-06
KP198611,2010-01
KJ866145,2013-05-15
KJ866146,2012-02-08
KJ866147,2013-12-18
KJ958218,2011-10-03
KJ958219,2011-10-04
KJ796464,2012-03-19
KJ768622,2011-11-30
KJ768623,2012-01-04
KJ768624,2012-02-16
KJ768625,2012-01-04
KJ768626,2012-07-18
KJ768627,2012-02-19
KJ768628,2012-02-19
KJ768629,2012-02-21
KJ768630,2012-02-14
KJ768631,2012-01-01
KJ768632,2011-12-14
KF524844,2010
KF524845,2010
KF524846,2010
KF524847,2010
KF524848,2010
KF524849,2010
KF524850,2010
KF524851,2010
KF524852,2010
KF512614,2011-01
KF512615,2011-01
KF512616,2011-01
KF512617,2011-02
KF512618,2011-03
KF512619,2011-04
KF512620,2011-08
KF512621,2011-08
KF512622,2011-12
KF512623,2011-12
KF512624,2011-01
KF512625,2011-04
KF512626,2011-04
KF512627,2011-04
KF512628,2011-03
KF512629,2011-03
KF512630,2011-06
KF512631,2011-06
KF512632,2011-06
KF512633,2011-06
KF512634,2011-07
KF512635,2011-07
KF512636,2011-07
KF512637,2011-07
KF512638,2011-07
KF512639,2011-07
KF512640,2011-07
KF512641,2011-07
KF512642,2011-07
KF512643,2011-07
KF512644,2011-08
KF512645,2011-08
KF512646,2011-08
KF512647,2011-08
KF512648,2011-08
KF512649,2011-08
KF512650,2011-08
KF512651,2011-08
KF512652,2011-08
KF512653,2011-08
KF512654,2011-08
KF512655,2011-09
KF512656,2011-09
KF512657,2011-09
KF512658,2011-09
KF512659,2011-09
KF512660,2011-10
KF512661,2011-10
KF512662,2011-10
KF512663,2011-10
KF530059,1995-01-11
KF530060,1985-01-08
KF530061,1990-01-19
KF530062,1995-02-13
KF530063,1996-12-30
KF530064,1996-12-04
KF530065,1990-01-17
KF530066,1990-01-16
KF530067,1991-02-07
KF530068,2000-07-27
KF530069,1998-02-05
KF530070,1999-01-15
KF530071,1992-05-04
KF530072,1997-12-11
KF530073,1989-12-21
KF530074,1992-12-16
KF530075,1995-03-09
KF530076,1991-01-03
KF530077,1987-03-12
KF530078,1996-12-17
KF530079,1991-03-14
KF530080,1997-12-18
KF530081,1999-01-07
KF530082,1991-02-07
KF530083,1987-03-17
KF530084,1995-01-12
KF530085,1987-01-22
KF530086,1987-02-10
KF530087,1987-03-05
KF530088,1990-01-23
KF530089,1991-01-29
KF530090,1993-01-26
KF530091,1991-01-24
KF530092,2000-08-08
KF530093,1983-02-24
KF530094,1991-02-22
KF530095,1991-02-05
KF530096,1991-01-15
KF530097,1992-11-30
KF530098,1996-05-10
KF530099,1997-01-02
JX513256,2009-10-08
JX513257,2009-11-05
JX513258,2009-11-19
JX513259,2009-12-30
JX513260,2010-01-05
JX513261,2010-01-28
JX513262,2010-02-04
JX513263,2010-02-04
JX513264,2010-02-11
JX513265,2010-02-18
JX513266,2010-02-18
JX513267,2010-03-18
JX513268,2010-03-18
KC513529,2011-03-18
AB695078,2011-02
AB695079,2011-02
AB695080,2011-02
AB695081,2011-02
AB695082,2011-03
AB695083,2011-05
AB695084,2011-05
AB695085,2011-05
AB695086,2011-06
AB695087,2011-07
JN129834,2004-11
JN129835,2004-11
FJ647039,2004-02
FJ647040,2004-02
FJ647041,2004-02
FJ647042,2004-12
FJ647043,2005-01
FJ647044,2005-02
FJ647045,2005-02
FJ647046,2005-03
FJ647047,2005-03
FJ647048,2005-03
FJ647049,2005-03
FJ647050,2005-04
FJ647051,2006-03
FJ647052,2007-01
FJ647053,2007-01
FJ647054,2007-01
FJ647055,2007-01
FJ647056,2007-02
FJ647057,2007-02
FJ647058,2007-02
FJ647059,2007-02
FJ647060,2007-02
FJ647061,2007-02
FJ647062,2007-02
FJ647063,2007-02
FJ647064,2007-03
FJ647065,2007-03
FJ647066,2007-03
FJ647067,2007-03
FJ647068,2007-03
FJ647069,2007-01
FJ647070,2007-01
FJ647071,2007-01
FJ647072,2007-01
FJ647073,2007-01
FJ647074,2007-01
FJ647075,2007-01
FJ647076,2007-02
EF507732,2005
EF507733,2005
EF507734,2005
EF507735,2005
EF507736,2005
EF507737,2005
EF507738,2005
EF507739,2005
EF507740,2005
EF507741,2005
EF507742,2005
EF507743,2005
EF507744,2005
DQ355401,
DQ355402,
DQ355403,
DQ355404,
DQ355405,
DQ355406,
DQ355407,
DQ355408,
AY903454,
AY903455,
AY903456,
AY903457,
AY903458,
AY903459,
AY903460,
AY585228,
AY585229,
AY391777,
P36334,
Z32768,
Z32769,
S62886,
L14643,
Z21849,
