ID,Collection date
AB691765,2004
AB691766,2004
AB691767,2008
GU068546,2007-12-17
GU068547,2008-01-17
GU068548,2008-01-24
GU068549,2008-02-21
FJ235172,2004-02
FJ235173,2004-03
FJ235174,2004-03
FJ235175,2005-04
FJ235176,2006-02
FJ235177,2006-03
FJ235178,2006-01
DQ243963,
DQ243964,
DQ243965,
DQ243966,
DQ243967,
DQ243968,
DQ243969,
DQ243970,
DQ243971,
DQ243972,
DQ243973,
DQ243974,
DQ243975,
DQ243976,
DQ243977,
DQ243978,
DQ243979,
DQ243980,
DQ243981,
DQ243982,
DQ243983,
DQ243984,
DQ243985,
DQ243986,
DQ243987,
AY386379,
AY386380,
AY386381,
AY386382,
AY386383,
AY386384,
AY386385,
AY386386,
AY386387,
AY386388,
AY386389,
AY386390,
AY386391,
AY386392,
AY386393,
AY386394,
AY386395,
AF344186,
AF344187,
AF344188,
AF344189,
AF304460,
Y09923,
P15423,
