ID,Collection date
MK462257,2018-06-01
MK462258,2018-07-24
MK483839,2018-08-16
MK129253,2018-10-20
MH978886,2018-09-08
MH978887,2018-09-08
MH978888,2018-09-12
MG757593,2015-08-22
MG757594,2015-08-24
MG757595,2015-08-24
MG757596,2015-08-24
MG757597,2015-08-24
MG757598,2015-08-26
MG757599,2015-08-26
MG757600,2015-09-01
MG757601,2015-09-01
MG757602,2015-09-01
MG757603,2015-09-18
MG757604,2016-01-31
MG757605,2016-04-14
MK357908,2017-04-21
MK357909,2017-04-21
MK280984,2015-05-21
MH734114,2018-03-13
MH734115,2018-03-13
MK039552,2014-04-21
MK039553,2014-05-23
MK052676,2014-05-23
MH102355,2017-02-15
MG520075,2015-10-13
MG520076,2015-10-15
MG546330,2015-10-13
MG546331,2015-10-15
MH822886,2018-08-22
MF000457,2015-08-25
MF000458,2015-09-19
MF000459,2015-09-07
MF000460,2015-08-30
MF741837,2015-09-07
MF741825,2015-08-25
MF741826,2015-08-25
MF741827,2015-08-26
MF741828,2015-08-27
MF741829,2015-08-30
MF741830,2015-08-31
MF741831,2015-09-03
MF741832,2015-09-09
MF741833,2015-09-17
MF741834,2015-09-19
MF741835,2015-09-17
MF741836,2015-09-22
MG912595,2017-05-31
MG912596,2017-06-02
MG912597,2017-06-02
MG912598,2017-06-03
MG912599,2017-06-07
MG912600,2017-06-08
MG912601,2017-06-10
MG912602,2017-06-12
MG912603,2017-06-12
MG912604,2017-06-15
MG912605,2017-06-17
MG912606,2017-06-14
MG912607,2017-06-11
MG912608,2017-06-14
MG912609,2017-05-31
MH310909,2017-05-05
MH310910,2017-06-03
MH310911,2017-06-06
MH310912,2017-05-15
MG366483,2017-06-02
MH371127,2016-11-25
MH395139,2016-12-04
MH432120,2017-02-28
MH454272,2016-12-06
KY706245,2014-11-29
KY706246,2014-11-29
KY706247,2014-11-29
MH306207,2016-08-01
MH013216,2015-10-15
MG021451,2013-07-17
MG021452,2014-05-08
MF593268,2015-04-20
MG923465,2015-03-01
MG923466,2017-03-15
MG923467,2017-03-15
MG923468,2017-03-15
MG923469,2015-03-03
MG923470,2015-02-23
MG923471,2015-03-18
MG923472,2015-01-13
MG923473,2015-03-16
MG923474,2016-01-24
MG923475,2016-02-03
MG923476,2016-02-15
MG923477,2016-02-17
MG923478,2016-02-03
MG923479,2016-02-05
MG923480,2016-02-07
MG923481,2016-02-16
MG596802,2011
MG596803,2011
KY673148,2015-01-06
KY673149,2015-01
KY688114,2015-01-16
KY688118,2015-02-07
KY688119,2015-05-01
KY688120,2015-05-10
KY688121,2015-05-22
KY688122,2015-05-27
KY688123,2015-05-13
KY688124,2015-05-20
KY673146,2013-07-12
KY673147,2014-04-25
KY581684,2013-07-10
KY581685,2013-07-12
KY581686,2014-04-10
KY581687,2013-12-23
KY581688,2014-04-10
KY581689,2014-04-10
KY581690,2014-04-12
KY581691,2014-04-14
KY581692,2014-04-15
KY581693,2014-04-20
KY581694,2014
KY581695,2014-06-01
KY581696,2014-03-12
KY581697,2014-02-18
KY581698,2014-06-01
KY581699,2014-06-01
KY581700,2014-02-18
MG366880,2015-06-02
MG366881,2015-06-07
MG366882,2015-06-07
MG366883,2015-06-15
MF679171,2015-03
MF679172,2015-03
MF679173,2015-04
MF679174,2015-04
MF598594,2015-03
MF598595,2015-03
MF598596,2015-03
MF598597,2015-03
MF598598,2015-03
MF598599,2015-03
MF598600,2015-03
MF598601,2015-03
MF598602,2015-03
MF598603,2015-03
MF598604,2015-03
MF598605,2015-03
MF598606,2015-03
MF598607,2015-03
MF598608,2015-03
MF598609,2015-03
MF598610,2015-03
MF598611,2015-03
MF598612,2015-03
MF598613,2015-03
MF598614,2015-03
MF598615,2015-03
MF598616,2015-03
MF598617,2015-03
MF598618,2015-03
MF598619,2015-03
MF598620,2015-03
MF598621,2015-03
MF598622,2015-03
MF598623,2015-03
MF598624,2015-03
MF598625,2015-03
MF598626,2015-03
MF598627,2015-03
MF598628,2015-03
MF598629,2015-03
MF598630,2015-03
MF598631,2015-03
MF598632,2015-03
MF598633,2015-03
MF598634,2015-03
MF598635,2015-03
MF598636,2015-03
MF598637,2015-03
MF598638,2015-03
MF598639,2015-03
MF598640,2015-03
MF598641,2015-03
MF598642,2015-03
MF598643,2015-03
MF598644,2015-03
MF598645,2015-03
MF598646,2015-03
MF598647,2015-03
MF598648,2015-03
MF598649,2015-03
MF598650,2015-03
MF598651,2015-03
MF598652,2015-03
MF598653,2015-03
MF598654,2015-03
MF598655,2015-03
MF598656,2015-03
MF598657,2015-03
MF598658,2015-03
MF598659,2015-03
MF598660,2015-03
MF598661,2015-03
MF598662,2015-03
MF598663,2015-03
MF598664,2015-03
MF598665,2015-03
MF598666,2015-03
MF598667,2015-03
MF598668,2015-03
MF598669,2015-03
MF598670,2015-03
MF598671,2015-03
MF598672,2015-03
MF598673,2015-03
MF598674,2015-03
MF598675,2015-03
MF598676,2015-03
MF598677,2015-03
MF598678,2015-03
MF598679,2015-03
MF598680,2015-03
MF598681,2015-03
MF598682,2015-03
MF598683,2015-03
MF598684,2015-03
MF598685,2015-03
MF598686,2015-03
MF598687,2015-03
MF598688,2015-03
MF598689,2015-03
MF598690,2015-03
MF598691,2015-03
MF598692,2015-03
MF598693,2015-03
MF598694,2015-03
MF598695,2015-03
MF598696,2015-03
MF598697,2015-03
MF598698,2015-03
MF598699,2015-04
MF598700,2015-04
MF598701,2015-04
MF598702,2015-04
MF598703,2015-04
MF598704,2015-04
MF598705,2015-04
MF598706,2015-04
MF598707,2015-04
MF598708,2015-04
MF598709,2015-04
MF598710,2015-04
MF598711,2015-04
MF598712,2015-04
MF598713,2015-04
MF598714,2015-04
MF598715,2015-04
MF598716,2015-04
MF598717,2015-04
MF598718,2015-04
